asn,prefix,as_path
215370,1.2.3.0/24,"(215370, 199524, 2152, 25)"
41128,1.2.3.0/24,"(41128, 199524, 2152, 25)"
34813,1.2.3.0/24,"(34813, 199524, 2152, 25)"
206766,1.2.3.0/24,"(206766, 199524, 2152, 25)"
152231,1.2.3.0/24,"(152231, 54994, 2152, 25)"
38107,1.2.3.0/24,"(38107, 54994, 2152, 25)"
208917,1.2.3.0/24,"(208917, 49544, 2152, 25)"
139240,1.2.3.0/24,"(139240, 49544, 2152, 25)"
62370,1.2.3.0/24,"(62370, 49544, 2152, 25)"
49078,1.2.3.0/24,"(49078, 49544, 2152, 25)"
5419,1.2.3.0/24,"(5419, 49544, 2152, 25)"
22139,1.2.3.0/24,"(22139, 46375, 2152, 25)"
15228,1.2.3.0/24,"(15228, 46375, 2152, 25)"
147176,1.2.3.0/24,"(147176, 199524, 2152, 25)"
50524,1.2.3.0/24,"(50524, 36351, 2152, 25)"
28356,1.2.3.0/24,"(28356, 36351, 2152, 25)"
7235,1.2.3.0/24,"(7235, 46375, 2152, 25)"
140403,1.2.3.0/24,"(140403, 54994, 2152, 25)"
25562,1.2.3.0/24,"(25562, 33353, 2152, 25)"
11795,1.2.3.0/24,"(11795, 33353, 2152, 25)"
3725,1.2.3.0/24,"(3725, 33353, 2152, 25)"
206209,1.2.3.0/24,"(206209, 31898, 2152, 25)"
136025,1.2.3.0/24,"(136025, 31898, 2152, 25)"
63360,1.2.3.0/24,"(63360, 31898, 2152, 25)"
38538,1.2.3.0/24,"(38538, 31898, 2152, 25)"
23885,1.2.3.0/24,"(23885, 31898, 2152, 25)"
20037,1.2.3.0/24,"(20037, 31898, 2152, 25)"
18916,1.2.3.0/24,"(18916, 31898, 2152, 25)"
4184,1.2.3.0/24,"(4184, 31898, 2152, 25)"
2763,1.2.3.0/24,"(2763, 31898, 2152, 25)"
1216,1.2.3.0/24,"(1216, 31898, 2152, 25)"
1215,1.2.3.0/24,"(1215, 31898, 2152, 25)"
56876,1.2.3.0/24,"(56876, 199524, 2152, 25)"
206286,1.2.3.0/24,"(206286, 199524, 2152, 25)"
59245,1.2.3.0/24,"(59245, 199524, 2152, 25)"
208959,1.2.3.0/24,"(208959, 199524, 2152, 25)"
131745,1.2.3.0/24,"(131745, 199524, 2152, 25)"
396450,1.2.3.0/24,"(396450, 2152, 25)"
55901,1.2.3.0/24,"(55901, 33353, 2152, 25)"
22767,1.2.0.0/16,"(22767, 10886, 27)"
11281,1.2.3.0/24,"(11281, 22697, 2152, 25)"
401487,1.2.3.0/24,"(401487, 21859, 2152, 25)"
205676,1.2.3.0/24,"(205676, 21859, 2152, 25)"
154049,1.2.3.0/24,"(154049, 21859, 2152, 25)"
152868,1.2.3.0/24,"(152868, 21859, 2152, 25)"
152700,1.2.3.0/24,"(152700, 21859, 2152, 25)"
152121,1.2.3.0/24,"(152121, 21859, 2152, 25)"
151383,1.2.3.0/24,"(151383, 21859, 2152, 25)"
151380,1.2.3.0/24,"(151380, 21859, 2152, 25)"
151373,1.2.3.0/24,"(151373, 21859, 2152, 25)"
151277,1.2.3.0/24,"(151277, 21859, 2152, 25)"
151196,1.2.3.0/24,"(151196, 21859, 2152, 25)"
63793,1.2.3.0/24,"(63793, 21859, 2152, 25)"
63593,1.2.3.0/24,"(63593, 21859, 2152, 25)"
214025,1.2.3.0/24,"(214025, 21859, 2152, 25)"
142299,1.2.3.0/24,"(142299, 199524, 2152, 25)"
36183,1.2.3.0/24,"(36183, 20940, 2152, 25)"
35204,1.2.3.0/24,"(35204, 20940, 2152, 25)"
